order_item_id,order_id,product_id,quantity
3972,1787,134,2
10615,4773,131,1
9402,4209,17,3
3929,1767,59,2
6719,3026,31,1
10525,4725,66,2
9796,4392,88,4
7500,3359,136,2
10252,4593,3,1
9954,4462,87,1
9183,4106,5,4
9315,4162,85,8
7826,3510,53,3
5737,2573,59,8
3030,1366,87,1
7748,3473,106,4
884,400,109,2
9716,4352,59,2
1819,825,129,2
9991,4477,45,5
1846,838,60,1
10275,4605,77,4
5359,2407,13,2
7071,3174,118,1
9683,4339,119,2
3025,1364,65,3
8201,3670,131,1
2679,1216,98,6
8975,4011,134,4
4,4,12,3
9263,4139,115,1
3729,1683,8,1
1083,487,59,9
4024,1807,27,2
9269,4143,6,1
7846,3518,121,2
8798,3927,35,1
11031,4967,25,4
1604,734,72,2
5041,2272,115,2
8350,3734,95,5
10736,4825,87,2
2271,1020,65,3
10109,4534,123,4
9525,4268,146,2
4276,1922,116,3
8282,3703,22,1
4638,2083,20,3
6956,3124,50,4
10645,4784,8,8
7783,3489,30,1
4832,2172,127,2
8238,3687,80,1
9906,4442,29,3
11092,4996,122,2
7102,3189,31,2
5382,2417,60,6
8811,3932,96,1
8701,3888,100,1
4209,1896,24,1
899,405,106,2
3508,1583,141,1
5854,2626,39,3
903,407,74,3
5324,2392,4,5
654,290,88,3
10534,4729,135,1
3762,1697,8,5
3140,1414,87,2
1422,639,60,1
610,271,84,3
6491,2933,25,4
4840,2175,73,1
9864,4419,83,5
8269,3697,126,2
10595,4761,147,1
2909,1311,120,2
10155,4553,27,6
8180,3661,66,1
11017,4961,67,5
10170,4559,96,2
4559,2050,149,3
6952,3123,28,8
9578,4294,28,4
7573,3395,113,5
1620,742,68,10
485,218,115,2
7113,3196,27,4
3251,1460,26,7
10286,4610,58,7
1423,639,13,3
10349,4641,112,1
3687,1669,90,3
1452,655,115,4
1924,873,89,1
5045,2273,8,2
8425,3765,2,4
9992,4478,42,2
10411,4667,91,2
6464,2919,95,7
5571,2504,100,3
2509,1132,25,5
3642,1650,32,9
8353,3734,104,3
9460,4235,90,3
9494,4253,81,6
1959,889,107,4
9107,4073,92,1
2778,1253,37,2
7073,3175,25,5
7096,3187,121,1
4844,2177,29,2
9858,4416,3,2
8028,3596,64,1
3198,1438,115,1
2709,1227,121,2
5368,2410,65,1
3008,1357,68,4
4326,1944,66,2
5039,2271,107,1
7599,3404,125,1
2880,1301,121,1
3691,1670,17,1
7370,3296,16,2
5064,2282,5,0
10468,4695,100,7
4131,1863,82,1
1144,514,41,2
5046,2274,135,2
6718,3026,40,4
3631,1644,77,1
4693,2106,135,2
4566,2053,80,1
10700,4809,95,7
2479,1118,22,2
5757,2585,50,2
4758,2135,47,10
5507,2471,46,1
8830,3940,142,3
2571,1159,144,1
530,239,124,5
8253,3693,59,3
4400,1979,67,3
9335,4174,74,2
1250,556,11,2
1848,838,149,3
10504,4713,5,4
5338,2400,104,2
9466,4238,5,1
4359,1960,26,1
7566,3390,39,9
8132,3638,131,1
2406,1083,96,4
6293,2833,102,1
3983,1790,82,2
2784,1255,38,7
8376,3745,138,2
4320,1939,80,1
4803,2159,97,2
189,90,7,3
431,195,94,3
5061,2280,94,3
2467,1112,140,1
10535,4729,100,8
4814,2164,114,1
5032,2269,49,10
1552,705,38,3
10839,4881,46,4
8864,3956,126,2
4324,1943,72,2
8073,3614,109,1
3097,1400,3,1
4954,2232,68,5
6697,3019,11,5
4680,2101,95,2
9333,4173,88,1
9354,4182,131,2
11051,4976,84,1
1670,763,123,1
8735,3900,32,3
2794,1260,58,1
5036,2270,63,5
1704,774,102,5
5586,2510,144,7
3512,1583,126,1
7177,3220,62,2
8799,3928,75,1
846,384,19,2
6223,2802,69,3
5678,2546,16,1
139,64,90,5
10800,4860,149,2
9837,4409,18,1
6706,3021,142,1
1485,670,49,3
7904,3538,75,1
5670,2542,140,8
4926,2217,91,3
8346,3731,85,1
9146,4088,11,2
3920,1764,32,4
3237,1454,111,1
9860,4418,61,3
696,312,14,1
8736,3900,37,2
6292,2833,4,4
9704,4347,73,8
201,94,126,4
7021,3153,36,1
9956,4462,133,4
499,224,99,3
8603,3839,104,7
6556,2963,49,1
3770,1701,103,2
2689,1220,134,2
4517,2031,131,2
7683,3442,26,1
7669,3437,65,3
10617,4774,26,2
5265,2368,34,2
10041,4498,111,4
445,200,98,4
8340,3727,59,1
1335,596,59,4
4929,2218,129,2
3431,1545,92,5
3975,1788,29,1
7686,3443,91,5
10928,4921,106,1
6353,2864,65,1
7424,3321,135,1
6548,2960,24,5
1307,583,143,4
277,124,114,4
11026,4966,133,1
1639,750,15,2
10104,4531,97,1
1494,674,96,1
10982,4945,106,2
892,403,22,2
9516,4264,16,1
2070,938,42,5
5687,2550,37,1
10354,4642,142,4
5482,2456,81,1
6914,3107,36,1
4412,1984,71,9
1887,854,56,1
3416,1538,127,5
7572,3394,3,5
2859,1290,15,1
1127,506,109,2
2167,975,113,1
6736,3034,88,4
5546,2490,125,1
2481,1119,67,1
5118,2308,72,2
7269,3256,124,2
7086,3180,146,5
9978,4472,72,4
9368,4190,34,2
3889,1750,72,1
6714,3023,77,2
649,289,67,2
11044,4971,89,1
8444,3771,114,1
11125,5656,69,5
5755,2583,72,3
1319,590,59,3
7034,3159,40,4
9454,4232,67,5
3046,1374,14,5
9020,4032,112,1
1769,805,109,7
2398,1079,67,1
3496,1576,142,4
2548,1149,147,3
830,378,120,2
921,415,4,2
4751,2131,119,5
5056,2277,92,2
4218,1900,103,4
4780,2147,37,1
7637,3421,3,1
5376,2414,36,1
2553,1150,146,5
4560,2050,55,2
3478,1566,61,5
8437,3769,74,7
10772,4843,134,2
8562,3818,43,4
2335,1049,75,2
3083,1393,136,4
10116,4536,81,6
7632,3419,17,1
3143,1415,141,2
6984,3136,129,7
2036,924,67,2
9573,4291,93,1
3573,1614,141,5
2407,1084,70,2
9008,4026,133,1
5804,2605,107,4
1323,591,146,1
1304,581,72,6
435,197,73,1
9346,4180,72,4
4499,2023,21,4
5213,2344,16,8
239,108,20,3
10986,4947,129,2
1358,609,90,1
3408,1533,35,1
6989,3137,75,1
10178,4563,104,2
8828,3940,101,7
6492,2934,124,3
5706,2559,113,1
3741,1688,27,3
1793,816,8,2
1930,875,131,1
8947,3996,113,2
5980,2681,8,2
9480,4244,67,1
650,289,5,3
4191,1885,28,1
8859,3954,45,1
10441,4682,73,2
4158,1875,61,7
8856,3953,26,4
4928,2217,60,2
5759,2585,105,1
10057,4508,71,5
737,329,137,2
5214,2345,33,1
3364,1514,102,-2
8894,3970,67,1
11029,4966,41,1
119,54,101,1
6847,3077,134,2
4798,2156,137,5
7714,3457,59,2
7259,3253,108,1
1922,872,78,1
3189,1435,108,2
1546,701,112,-1
11086,4995,128,4
2312,1039,104,3
293,130,138,5
7940,3556,134,1
3748,1690,4,4
5404,2428,4,7
9795,4391,93,1
6822,3069,32,4
10034,4495,129,1
10501,4712,109,4
2937,1328,61,1
11184,5691,39,2
5897,2644,38,1
6189,2786,80,5
9331,4172,70,3
10481,4702,93,1
10360,4644,93,2
9255,4136,119,5
9811,4396,28,1
6951,3123,126,2
3388,1524,22,5
4529,2035,100,4
6947,3120,23,1
6183,2783,130,1
159,72,76,2
8890,3968,134,1
6875,3087,117,5
3365,1514,38,1
8729,3897,141,1
2155,969,145,1
5694,2552,16,5
9160,4095,55,2
10624,4776,60,2
3648,1652,7,2
9865,4419,18,1
80,35,114,1
1465,660,87,6
2853,1288,1,5
10758,4836,51,4
9147,4089,38,3
6707,3021,42,8
9602,4303,61,4
8728,3896,119,5
6585,2975,118,1
6600,2981,48,3
10278,4607,57,6
8125,3636,94,2
9706,4348,77,4
854,388,71,3
7625,3417,93,1
6930,3115,73,1
2114,953,130,2
6679,3011,21,5
8775,3919,128,1
7542,3381,83,7
5136,2316,52,5
9880,4428,90,5
5774,2591,39,1
2619,1183,60,3
10761,4837,29,1
2895,1306,126,3
8228,3683,67,3
5339,2400,12,3
1871,848,85,4
1705,774,20,3
9901,4439,132,2
7076,3176,1,3
625,277,97,1
457,207,71,2
10197,4573,128,2
10794,4857,44,1
2560,1154,1,3
8213,3676,17,3
2235,1005,85,2
5210,2344,5,1
2925,1321,65,2
418,190,4,2
6903,3101,130,5
4503,2025,75,2
9779,4383,105,1
6773,3048,29,1
8783,3922,18,0
3287,1475,89,5
9089,4066,94,3
717,321,145,5
1742,790,33,3
5562,2500,93,10
5012,2258,137,1
7893,3534,41,2
10801,4861,76,1
8475,3783,19,2
5200,2339,58,1
5730,2570,110,1
1281,570,19,1
1674,764,124,1
8387,3749,51,1
5491,2460,1,1
9148,4090,4,1
7330,3281,56,1
9819,4401,118,1
5114,2307,89,5
2801,1262,8,1
205,95,103,3
7233,3242,61,4
10219,4579,129,2
10942,4929,66,2
4154,1874,92,2
49,24,74,1
5765,2588,64,1
2047,928,101,1
4070,1833,103,6
4091,1843,75,5
9590,4300,57,1
3831,1728,31,2
1286,572,7,5
10222,4581,90,6
8984,4014,13,1
9383,4200,102,1
4424,1989,5,1
5567,2502,2,2
3052,1376,4,2
7210,3233,90,6
444,199,95,2
6507,2943,134,1
6934,3116,24,1
8953,3999,38,5
11178,5476,29,3
676,303,8,5
4291,1927,116,1
1542,699,32,2
7827,3510,71,1
6060,2718,79,4
3775,1702,61,5
8131,3638,83,2
8403,3754,108,1
9388,4202,30,3
3946,1775,113,2
3125,1410,117,4
4962,2235,77,1
8700,3887,96,2
9043,4044,75,4
5014,2259,86,1
10226,4582,84,2
1099,494,121,2
4217,1899,17,4
9874,4424,52,4
2761,1247,88,6
7617,3414,105,7
4893,2200,107,1
9411,4213,128,7
6086,2732,71,1
10797,4859,88,2
171,78,66,1
2380,1070,132,1
4184,1883,20,2
9898,4437,12,3
10493,4709,19,2
9110,4073,6,1
5618,2522,121,3
9192,4109,62,3
3080,1391,142,2
6263,2820,146,6
2376,1069,127,1
3574,1614,143,1
1974,894,79,4
8935,3991,116,2
3722,1682,103,2
2898,1306,87,1
2109,951,133,2
10494,4709,122,1
5010,2257,83,2
10162,4556,21,2
111,50,149,2
4477,2014,52,3
7803,3499,57,3
7119,3199,112,4
245,110,80,4
2953,1335,32,3
1900,862,110,2
5008,2256,69,4
5971,2678,134,6
2998,1352,32,1
3826,1725,39,1
3392,1525,6,1
9198,4111,26,4
8634,3853,7,2
5264,2368,25,5
11127,5007,51,4
1595,729,94,1
4826,2170,134,5
126,58,55,1
11128,5681,63,4
2446,1103,131,1
3136,1413,40,1
4180,1883,136,1
4095,1845,81,4
9273,4145,92,3
8359,3737,100,2
6199,2790,90,3
3276,1471,90,2
304,138,94,1
10641,4782,9,1
5515,2474,102,1
10408,4667,114,2
36,18,48,3
1000,448,110,3
9397,4206,148,1
5053,2276,149,8
5941,2667,64,1
5357,2406,62,4
2549,1149,77,5
1324,592,138,1
8016,3593,56,3
3673,1664,115,1
2852,1288,25,6
6216,2798,27,5
265,118,54,1
5240,2359,97,2
2587,1166,109,1
677,304,117,1
4745,2128,28,3
10465,4694,64,1
4306,1934,49,3
9420,4216,57,1
1681,767,17,2
1538,697,77,5
8575,3829,44,3
6302,2840,88,2
11192,5735,115,1
5701,2555,28,1
6850,3078,140,1
4317,1938,67,1
7883,3531,73,2
9886,4430,127,2
2289,1028,44,1
8625,3848,12,1
8099,3626,97,1
10720,4819,89,9
4725,2121,74,1
3020,1363,103,4
8048,3604,71,2
10891,4902,133,3
4035,1813,2,1
853,387,131,1
820,373,65,1
3312,1486,32,1
5131,2314,117,2
911,411,12,4
4058,1827,107,1
2810,1265,78,4
2843,1285,21,5
5294,2380,93,2
2764,1248,11,3
3462,1558,136,4
2565,1157,101,7
3791,1711,17,1
4096,1845,34,2
8118,3633,44,1
3750,1690,84,1
2498,1129,99,8
6650,3003,139,6
2365,1063,32,1
5173,2328,58,1
7644,3424,22,2
93,42,147,5
3374,1518,123,4
2798,1261,81,2
4455,2004,105,2
6826,3070,61,1
4841,2176,76,6
1290,574,25,2
9625,4313,143,3
8752,3906,116,10
2969,1341,111,2
4305,1933,94,3
5095,2297,146,3
505,226,45,2
8059,3610,113,5
2824,1273,150,1
843,383,99,2
10240,4588,108,2
5471,2452,53,1
1371,614,53,1
566,256,119,2
6024,2705,16,7
987,443,143,4
3902,1757,35,1
10214,4578,122,2
782,353,126,3
10981,4944,63,3
9271,4144,113,2
6372,2874,58,2
8474,3783,45,2
4557,2050,115,1
490,220,66,1
5962,2673,94,2
192,91,94,5
7161,3214,111,1
9164,4097,76,3
2242,1007,94,1
1467,661,56,3
7934,3552,55,1
4357,1959,15,4
10663,4793,49,1
5181,2332,127,5
7740,3469,23,1
4603,2070,53,1
4481,2016,17,1
10762,4837,74,1
7720,3461,32,2
8363,3740,11,6
9990,4476,110,1
4060,1827,59,6
2626,1187,39,3
573,258,18,9
144,66,117,3
4337,1949,108,1
5380,2416,81,2
4112,1853,45,4
8286,3704,46,1
3577,1616,61,5
45,23,112,1
1238,552,105,1
356,161,115,3
3360,1512,122,1
4686,2103,61,2
3247,1458,38,6
11108,5843,94,2
492,220,75,3
9350,4181,74,1
8955,4000,19,2
10312,4627,38,4
5849,2624,130,2
1671,763,132,4
5723,2567,38,4
7662,3433,10,8
4100,1847,6,1
5365,2409,142,1
10055,4507,25,2
8075,3615,123,3
9351,4181,145,3
6526,2949,94,4
6108,2743,65,3
9513,4263,35,1
7496,3357,126,3
9993,4479,21,3
2053,929,139,3
4109,1851,82,1
10685,4803,39,4
10715,4815,130,3
2602,1175,36,1
6995,3142,41,1
2720,1232,69,6
3588,1621,27,5
3872,1742,150,2
5809,2607,92,4
10949,4931,139,6
2194,986,50,2
2161,973,11,6
2572,1160,42,6
9654,4327,40,1
6538,2955,15,4
10554,4737,8,5
8277,3700,6,2
9629,4317,138,3
6937,3117,99,2
6277,2826,84,2
7551,3384,46,1
7052,3166,31,3
11024,4965,44,3
6658,3005,3,1
8122,3635,13,9
10802,4861,13,5
9165,4097,129,2
4312,1936,85,2
1936,877,148,2
7947,3561,13,7
1942,880,7,1
3153,1420,41,2
3817,1721,17,1
4958,2234,120,2
8351,3734,137,7
10622,4776,37,2
10958,4935,122,6
6034,2708,44,3
10707,4812,114,0
9117,4077,28,8
3828,1727,24,3
8298,3710,42,3
7693,3447,37,2
8664,3869,124,1
2322,1043,32,1
1081,486,21,5
957,428,67,2
7563,3389,5,1
9725,4356,48,2
661,293,110,1
2427,1094,96,1
3170,1427,68,1
5841,2621,129,3
2433,1096,125,1
7005,3147,64,2
6176,2779,59,2
8113,3630,112,1
1439,647,122,2
10632,4779,80,4
1827,829,34,3
7270,3257,58,3
7413,3315,132,3
9577,4294,144,1
7972,3573,26,1
3882,1747,133,3
9546,4281,98,3
2745,1243,92,2
3595,1624,149,2
6689,3016,4,1
1369,613,133,1
9053,4048,102,1
5065,2282,10,1
1282,570,20,2
5493,2461,106,6
4806,2161,140,1
8534,3806,14,7
4927,2217,105,3
2656,1205,17,4
2503,1131,93,1
10923,4917,104,2
1609,738,31,5
2590,1168,42,2
6785,3051,149,6
3795,1713,33,1
3358,1511,32,2
6683,3012,128,3
2760,1247,30,3
5627,2526,46,1
11066,4984,144,6
6487,2931,39,9
4029,1810,78,1
2939,1328,103,5
10066,4512,116,2
272,121,83,4
7575,3396,102,6
1060,477,75,9
7641,3423,124,2
1532,694,81,1
4017,1803,131,2
436,197,51,3
9852,4415,84,1
767,345,127,5
7405,3311,2,3
5861,2629,146,2
8288,3705,137,3
7524,3369,134,4
10015,4487,122,2
8109,3629,133,1
6266,2821,63,2
7598,3404,58,2
7372,3297,149,2
6833,3072,55,5
3905,1757,108,1
2854,1288,15,2
3301,1481,140,2
3543,1600,89,3
5691,2551,61,2
2692,1221,17,4
1295,577,129,2
2833,1278,74,4
8633,3853,29,2
9758,4376,58,1
7887,3533,27,2
2534,1143,26,2
1415,635,6,5
1302,580,39,5
8284,3703,47,2
134,61,106,3
8085,3620,110,6
6849,3078,40,3
7663,3434,74,1
3676,1665,138,2
1020,457,149,2
7529,3372,107,-2
6612,2986,140,2
3802,1716,45,2
2907,1311,140,2
7507,3361,36,2
8299,3710,77,1
10412,4668,19,5
7013,3150,93,1
5171,2328,27,2
5699,2554,21,2
1326,592,98,1
4944,2226,92,2
9959,4463,64,7
8528,3803,91,2
4839,2175,82,6
8969,4006,20,6
6203,2791,103,2
7138,3205,114,1
5194,2337,82,4
4669,2096,84,5
5123,2311,17,3
9894,4434,33,3
4956,2232,54,1
7428,3323,13,2
10781,4848,109,1
4120,1858,146,1
6049,2714,45,4
7635,3421,131,4
2487,1122,38,1
1375,617,130,1
2239,1006,123,1
8897,3971,19,2
4828,2170,64,1
10877,4896,29,1
4258,1915,3,1
8533,3805,115,6
5106,2304,116,1
6737,3034,56,1
10894,4904,148,2
4528,2034,107,5
5695,2553,127,4
8537,3807,48,4
4604,2071,106,1
4581,2059,123,2
10264,4600,93,2
1036,465,101,2
8216,3678,126,2
10257,4597,72,1
4505,2027,13,1
4421,1988,17,4
7375,3297,98,5
1043,471,140,5
2074,939,44,8
10392,4659,146,2
7344,3287,1,4
5561,2499,15,2
951,426,89,2
1817,825,115,2
8300,3710,104,1
7726,3464,40,4
4829,2171,98,1
4526,2033,36,1
8147,3645,18,5
5683,2548,38,3
10572,4750,21,4
6303,2840,36,2
5156,2323,131,2
4862,2185,43,4
5890,2641,132,3
9789,4388,9,2
6941,3118,123,4
4140,1867,129,1
3778,1704,33,5
9237,4129,52,2
1344,601,114,2
2470,1115,62,5
3101,1401,127,1
5239,2358,62,7
6462,2917,40,2
2438,1100,24,1
9468,4238,75,1
4220,1900,116,3
6946,3120,119,2
5674,2544,24,2
4175,1881,113,2
5001,2253,106,1
1219,543,119,3
3224,1449,149,2
1703,774,34,2
11085,4994,150,6
6580,2973,19,3
5193,2337,31,1
7019,3152,121,1
8208,3674,125,3
2839,1282,148,2
8171,3655,11,2
225,104,75,10
6546,2958,108,3
2168,976,122,2
2668,1211,51,2
9809,4396,16,1
3204,1441,36,4
5689,2551,56,1
4156,1874,38,4
51,25,51,2
2809,1265,121,1
3321,1491,94,-2
6966,3128,144,7
6611,2986,73,2
5885,2639,85,6
6758,3043,122,2
2290,1029,107,8
198,93,65,1
10192,4570,126,5
3953,1781,38,1
2742,1242,2,1
5478,2455,147,4
7453,3336,110,8
5290,2377,69,2
9017,4030,66,2
1215,542,145,1
10485,4704,74,1
2181,982,63,7
5646,2531,18,6
7318,3277,26,3
9821,4402,16,3
3011,1359,1,1
9152,4091,139,9
2327,1045,92,1
4509,2028,30,4
104,46,119,2
4313,1937,61,1
9859,4417,47,3
9075,4059,109,2
1400,626,117,3
4648,2088,49,2
9194,4110,73,2
3962,1784,132,2
751,336,100,5
5295,2380,129,10
10983,4945,88,1
8996,4020,33,3
805,364,135,1
10394,4659,54,3
84,37,98,2
5864,2631,104,1
8916,3981,68,1
8610,3841,70,4
2516,1135,84,2
791,358,5,1
3839,1732,38,4
6579,2972,118,2
7371,3296,19,1
575,259,126,1
3220,1448,102,1
4129,1861,69,1
7680,3440,147,3
11004,4955,90,5
10733,4823,5,1
3270,1469,106,3
10589,4757,42,2
3647,1652,10,4
471,212,124,1
4248,1911,98,7
562,255,135,2
1888,854,121,4
9226,4125,50,3
8344,3730,27,2
9385,4201,35,1
2127,957,94,2
971,435,41,1
5731,2571,17,1
4157,1875,45,2
6068,2723,37,1
4786,2151,140,3
10081,4519,67,6
122,54,62,1
9322,4165,55,2
2295,1032,110,2
687,309,123,1
7228,3239,68,4
788,356,125,1
4033,1812,57,3
8370,3742,51,1
794,359,98,1
8361,3738,117,3
8552,3814,140,1
8146,3644,98,2
4568,2055,50,1
9288,4152,86,4
8139,3643,5,5
9803,4395,135,1
1750,795,68,7
3267,1468,6,10
4482,2016,46,1
9763,4378,107,2
5147,2319,31,1
8759,3910,134,3
10756,4835,80,2
9474,4241,30,1
4404,1981,74,1
5442,2440,40,2
6649,3002,50,1
7622,3416,5,5
5256,2364,105,1
7965,3570,55,1
1834,831,1,3
2896,1306,113,1
5223,2349,32,4
7310,3273,24,2
8647,3860,122,5
8827,3939,116,1
1511,684,61,1
6820,3068,109,10
4837,2174,25,1
8127,3637,143,-1
4255,1913,17,1
5928,2661,12,5
9184,4107,21,3
447,200,73,2
1084,487,146,4
3812,1719,59,2
588,265,136,1
4634,2082,87,1
10755,4835,144,8
6476,2925,97,2
3754,1693,52,1
318,145,78,1
183,86,122,2
8539,3808,78,2
9824,4404,32,4
8621,3846,88,1
10512,4719,26,3
2915,1314,120,3
3908,1758,12,7
9731,4360,15,5
4906,2207,2,3
3555,1605,46,3
8379,3746,36,1
8946,3996,95,5
11106,5121,13,3
540,244,144,2
9661,4330,51,1
6045,2712,121,5
138,63,37,2
2019,917,70,7
1162,521,99,7
877,397,28,3
7047,3164,144,2
3038,1371,63,1
8866,3958,124,2
734,329,94,2
4918,2212,108,2
5623,2524,45,4
1761,802,60,1
1788,813,134,4
4487,2018,114,5
9352,4181,140,5
7601,3406,88,2
9387,4202,135,2
10835,4878,86,2
1963,890,25,1
2275,1021,150,1
10647,4786,117,6
5094,2297,99,1
1978,896,111,2
4681,2101,5,6
10966,4938,67,4
3864,1740,109,4
1877,851,28,1
3029,1366,119,5
242,109,52,6
9452,4231,61,2
6366,2872,112,3
4905,2206,37,7
5611,2518,122,2
2233,1005,28,1
6673,3009,59,1
4762,2137,62,1
10943,4930,86,6
6012,2698,149,2
8836,3943,124,1
7078,3176,56,3
6971,3131,17,1
11196,5681,99,4
10140,4547,64,2
5814,2609,18,1
6980,3135,74,2
6148,2762,54,3
7320,3278,99,1
3362,1513,138,2
10653,4788,49,3
591,266,60,3
10711,4814,105,2
1229,546,25,1
2606,1177,39,5
4525,2033,76,1
10253,4594,95,2
6725,3028,106,3
7109,3193,115,2
9493,4252,91,6
6883,3091,40,1
7056,3168,10,5
9950,4460,139,3
4044,1818,124,2
1973,894,22,3
2102,948,131,1
5403,2428,6,1
1717,779,32,1
10909,4911,71,1
10301,4618,82,5
5472,2452,29,2
2835,1279,88,6
570,257,41,4
8442,3771,125,2
10547,4733,74,10
9878,4427,103,3
10026,4492,22,1
3743,1689,125,1
3613,1634,4,7
9200,4112,80,2
1268,565,8,4
2841,1283,27,5
11047,4973,2,1
2945,1330,90,1
1131,509,36,8
2329,1047,145,1
7879,3530,62,3
10139,4547,31,2
5191,2336,80,2
3697,1672,134,6
10741,4829,142,2
4188,1885,147,1
290,129,87,4
908,410,16,1
2707,1226,119,2
1342,600,12,1
10074,4515,131,3
10127,4541,21,5
11080,4991,82,1
10654,4788,133,1
8577,3830,57,2
6997,3144,90,1
177,81,129,2
5830,2617,113,2
3522,1589,100,4
