order_id,customer_id,order_date,status
1,1819,2023-03-05,DELIVERED
2,671,2027-06-08,SHIPPED
3,67,2024-11-17,CREATED
4,264,2022-09-21,DELIVERED
5,857,2022-01-22,CANCELLED
6,1528,2024-12-19,SHIPPED
7,292,2023-07-17,SHIPPED
8,891,2025-03-19,CREATED
9,1785,2024-05-01,DELIVERED
10,874,2024-02-29,RETURNED
11,1758,2022-01-03,SHIPPED
12,798,2022-07-23,DELIVERED
13,1120,2023-08-12,SHIPPED
14,1493,2022-07-14,DELIVERED
15,1420,2022-12-15,DELIVERED
16,13,2023-10-13,DELIVERED
17,1174,2024-05-01,CREATED
18,333,2023-11-10,DELIVERED
19,1625,2025-02-05,CANCELLED
20,934,2024-06-30,DELIVERED
21,1956,2023-09-19,DELIVERED
22,1386,2023-02-11,DELIVERED
23,676,2022-11-22,DELIVERED
24,949,2024-07-01,DELIVERED
25,169,2024-06-30,SHIPPED
26,1861,2024-01-05,delivered
27,965,2022-08-30,DELIVERED
28,634,2022-09-26,SHIPPED
29,673,2023-08-28,DELIVERED
30,1509,2023-12-24,DELIVERED
31,1747,2022-06-30,CREATED
32,1123,2023-04-03,CREATED
33,293,2024-06-24,CANCELLED
34,797,2022-01-02,DELIVERED
35,1169,2024-08-09,CANCELLED
36,1351,2022-12-10,SHIPPED
37,1219,2024-02-09,CREATED
38,1395,2022-05-25,CREATED
39,1265,2023-04-11,CREATED
40,217,2022-08-28,DELIVERED
41,982,2025-03-28,CANCELLED
42,1857,2023-11-04,DELIVERED
43,452,2023-03-09,DELIVERED
44,723,2022-10-26,DELIVERED
45,1260,2024-11-14,DELIVERED
46,1590,2023-04-26,CANCELLED
47,1863,,CREATED
48,1261,2023-09-01,DELIVERED
49,518,2023-09-27,SHIPPED
50,1855,2022-12-15,DELIVERED
51,584,2023-04-21,SHIPPED
52,1412,2024-03-11,CREATED
53,1336,2024-11-21,SHIPPED
54,1456,2025-03-08,DELIVERED
55,1979,2024-05-28,DELIVERED
56,1889,2024-10-14,SHIPPED
57,977,2024-12-13,SHIPPED
58,1002,2023-03-08,CREATED
59,1721,2024-08-12,DELIVERED
60,1762,2023-01-31,SHIPPED
61,1095,2023-03-23,DELIVERED
62,1027,2023-10-21,SHIPPED
63,1238,2023-11-28,CREATED
64,384,2023-04-05,CREATED
65,1641,2024-03-15,SHIPPED
66,1456,2023-11-09,DELIVERED
67,1414,2022-04-20,SHIPPED
68,154,2023-08-22,DELIVERED
69,1455,2024-01-02,SHIPPED
70,1871,2022-11-01,CREATED
71,857,2023-09-26,SHIPPED
72,963,2024-03-13,CREATED
73,1358,2022-07-10,CANCELLED
74,30,2024-05-07,SHIPPED
75,346,2022-11-03,CANCELLED
76,55,2024-01-17,DELIVERED
77,1375,2022-01-09,CANCELLED
78,1190,2023-11-13,CREATED
79,14,2024-10-20,DELIVERED
80,1891,2023-03-20,SHIPPED
81,1181,2022-05-07,SHIPPED
82,1422,2023-05-16,DELIVERED
83,292,2024-05-18,CANCELLED
84,307,2022-05-08,DELIVERED
85,214,2024-07-26,DELIVERED
86,49,2022-05-18,CANCELLED
87,1197,2023-03-04,SHIPPED
88,1832,2022-12-02,CANCELLED
89,397,2023-05-02,DELIVERED
90,1719,2022-05-29,DELIVERED
91,1249,2022-10-28,CREATED
92,327,2022-12-21,CANCELLED
93,1812,2022-10-25,DELIVERED
94,930,2022-04-21,SHIPPED
95,1097,2024-06-30,DELIVERED
96,397,2022-11-05,SHIPPED
97,53,2022-06-12,CANCELLED
98,1847,2023-08-20,SHIPPED
99,282,,DELIVERED
100,1684,2022-02-09,DELIVERED
101,1423,2023-06-11,CANCELLED
102,928,2025-01-31,DELIVERED
103,535,2022-01-29,DELIVERED
104,652,2024-09-07,DELIVERED
105,292,2024-11-18,DELIVERED
106,318,2024-03-27,DELIVERED
107,301,2024-04-01,DELIVERED
108,245,2024-06-15,CREATED
109,1057,2024-05-18,CREATED
110,22,2023-02-17,CREATED
111,967,2025-03-28,DELIVERED
112,391,2022-09-10,CANCELLED
113,1403,2024-01-10,SHIPPED
114,817,2022-02-06,CREATED
115,536,2025-02-13,CREATED
116,3,2024-11-19,DELIVERED
117,752,2022-12-16,CREATED
118,966,2023-08-08,CREATED
119,764,2024-06-25,DELIVERED
120,845,2022-06-20,DELIVERED
121,1698,2025-03-14,CANCELLED
122,1017,2025-02-11,DELIVERED
123,305,2023-12-14,DELIVERED
